id,title,description,link,image_link,price,brand,availability,condition,google_product_category
"rabanne-fame-parfum-mini-size","Rabanne Fame Parfum Mini Size","Mã hàng 110100204314 Thương hiệu Rabanne Xuất xứ Pháp Năm phát hành 2023 Nhóm hương Hương Trái Xoài, Gỗ Đàn Hương, Hương Hoa Nhài Phong cách Bí ẩn, Quyến rũ, Ngọt ngào Chưa có mô tả cho sản phẩm này","https://namperfume.net/products/rabanne-fame-parfum-mini-size","https://product.hstatic.net/1000340570/product/fame-parfum-mini-size-4ml_34a898fa1f0542d9a03434f713ed9231_grande.jpg",35000000 VND,"Rabanne","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"moschino-toy-2-mini-size","Moschino Toy 2 Mini Size","Hương đầu: Quả quýt hồng, Quả táo xanh, Hoa mộc lanHương giữa: Hoa mẫu đơn, Lý chùm trắng, Hoa nhàiHương cuối: Gỗ đàn hương, Amberwood, Xạ hương&nbsp;Moschino Toy 2 được ra mắt vào năm 2018, là một dòng nước hoa dành cho phụ nữ được sáng tạo bởi hai chuyên gia nước hoa hàng đầu Alberto Morillas và Fabrice Pellegrin. Nếu bạn đang tìm một mùi hương dành cho mùa hè, nhưng cảm thấy không quá ấn tượng với những mùi hương tươi mát với tone mùi chủ đạo là cam, quýt hay bưởi, thì&nbsp;Moschino Toy 2 sẽ giúp bạn trả lời được câu hỏi đó.&nbsp;Moschino Toy 2 tô điểm cho mùa hè của bất kỳ cô gái nào, biến sự nóng nực, khó chịu trở nên tươi mát và dễ chịu, nhưng vẫn đủ độ ngọt thanh nhẹ để khiến bạn cảm thấy tự tin, cuốn hút và nổi bật trước mọi không gian và thời gian. Sự phá cách trong thiết kế của hãng Moschino từ thời trang cho đến nước hoa đều không làm các fan trung thành thất vọng, khi từ thiết kế cho đến mùi hương, sự ấn tượng đến rung cảm là điều bạn sẽ nhận được khi tiếp xúc với&nbsp;Moschino Toy 2. Sự hòa quyện tuyệt vời của Táo xanh cùng Lý chùm trắng, nữ tính với sự có mặt của Hoa mẫu đơn, cùng sự nhẹ nhàng và đầy sáng tạo khi kết hợp Hoa mộc làn cùng với xạ hương,&nbsp;Moschino Toy 2 sẵn sàng biến mùa hè của bạn trở thành những khoảnh khắc tuyệt đẹp không bao giờ quên.","https://namperfume.net/products/moschino-toy-2-mini-size","https://product.hstatic.net/1000340570/product/toy-2_e8763e1a84c740abbec90c909ddc4ed5_grande.jpg",38000000 VND,"Moschino","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"ferragamo-signorina-unica","Ferragamo Signorina Unica","Mã hàng 110100204878 Thương hiệu Salvatore Ferragamo Xuất xứ Ý Năm phát hành 2024 Nhóm hương Hương Cam, Hương Biển, Đường Mía Phong cách Tinh Tế, Thanh Lịch, Cuốn Hút Chưa có mô tả cho sản phẩm này","https://namperfume.net/products/ferragamo-signorina-unica","https://cdn.hstatic.net/products/1000340570/ferragamo-signorina-unica_818edbd8c6cb48baac25cfb222afb842_grande.jpg",2500000 VND,"Salvatore Ferragamo","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"gucci-flora-gorgeous-jasmine-mini-size","Gucci Flora Gorgeous Jasmine Mini Size","Hương đầu: Quýt Ý, Cam Bergamot, Tiêu đen.Hương giữa: Hoa nhài, Hoa nhài Sambac, Hoa mộc lan, Hoa hồng Damask.Hương cuối: Nhựa hương Benzoin, Gỗ đàn hương Úc, Hoắc hương.Tiếp nối thành công của Flora Gorgeous Gardenia, Gucci tiếp tục cho ra mắt phiên bản tiếp theo của dòng Gucci Flora Gorgeous, với chủ điểm là một người chị em của Gardenia (Hoa dành dành), ấy là Jasmine (Hoa nhài). Nhài và Dành dành có những đặc điểm cơ bản khá giống nhau trong mùi hương, cùng nằm trong nhóm hoa trắng, và Nhài thực tế cũng đã xuất hiện trong phiên bản màu hồng được ra mắt năm 2021. Vậy Gucci Flora Gorgeous Jasmine mới được ra mắt năm 2022 sẽ có những gì thú vị dành cho chúng ta?Đúng như tên gọi của mùi hương, Hoa nhài là chủ thể được tô vẽ xinh đẹp trong Flora Gorgeous Jasmine. Nhài tươi thắm, tinh khôi và gợi cảm, ngọt ngào như những gì ta có thể tưởng tượng về một tiểu thư chuẩn mực. Nhài của Flora Gorgeous Jasmine được tô vẽ đậm nét tới mức ta có thể tận hưởng hương thơm dễ chịu này từ đầu tới cuối của mùi hương, nhưng vẫn đủ giúp ta nhận biết được sắc thái đem tới từ các vệ tinh xung quanh bông hoa dễ thương này, bằng việc chuyển biến của mùi hương.Nhài được chuyển qua từ trạng thái chua ngọt mọng nước của những nốt hương Cam chanh, cho tới cái tê ngọt ấm áp của Nhựa hương hòa trộn với những rung động nhẹ nhàng từ Đàn hương, khiến Hoa nhài vừa dễ thương, vừa sống động trong Flora Gorgeous Jasmine.","https://namperfume.net/products/gucci-flora-gorgeous-jasmine-mini-size","https://product.hstatic.net/1000340570/product/gucci-flora-gorgeous-jasmine-mini-size_2dfddfdb0b734a1298e4542938354742_grande.jpg",48000000 VND,"Gucci","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"gucci-bloom-eau-de-parfum-for-her-mini-size","Gucci Bloom Eau de Parfum For Her Mini Size","Nốt hương đầu : Lá câyNốt hương giữa : Chi ngân, Nhài, HuệNốt hương cuối : Gỗ đàn hương, Vani&nbsp;Là một cơn gió mát của mùa xuân, tràn ngập sức sống. Gucci Bloom giống một bông hoa nhỏ bé đang từ từ nở rộ, tràn ngập giữa một vườn hoa trắng muốt đầy trang nhã. Chân thật với hương thơm của lá cây vào buổi sớm mai, chất chứa những giọt sương còn đọng lại vào đêm hôm trước. Gucci Bloom mộc mạc, trần trụi, đem lại cảm giác hồi xuân, mang tôi trở về với quá khứ, vui đùa cùng những cánh hoa trong vườn, nhâm nhi ly nước chanh mát lạnh trong một ngày nắng nóng. Chi ngân, Nhài và Huệ như hoà quyện vào gió, tạo nên một điệu nhảy của cánh hoa , mang đến những khoảnh khắc kì diệu, khác biệt và không hề gây buồn chán. Gỗ đàn hương và Vani hòa quyện với nhau như một cặp đôi đang khiêu vũ, trong veo đầy thơ mộng. Gucci Bloom là một giấc mộng của mùa xuân, mơ màng dưới bóng cây cổ thụ, nhưng biết hé nở và tỏa hương khi cần.&nbsp;Câu chuyện nước hoa&nbsp;Khánh vuốt nhẹ lên mái tóc của Mai, khẽ đưa bàn tay xuống dưới, nắm lọn tóc nhỏ và đưa lên mũi ngửi thật sâu, Gucci Bloom, chai nước hoa Khánh mua tặng Mai cách đây 6 tháng vào dịp sinh nhật, một mùi hương thơm nữ tính mà Khánh rất thích. Từ lúc 10h tối đến giờ, Khánh chẳng thể nào chợp mắt được, có lẽ là Khánh cũng chẳng muốn ngủ nữa, bởi ngồi cạnh Mai trong một bầu không khí như này thật chẳng có gì tuyệt với bằng. Nhóm bạn của Khánh và Mai đi trekking Tà Năng, và đây là đêm đầu tiên họ dừng lại ở trên lưng chừng núi để nghỉ ngơi, họ đốt lửa trại, hát cùng tiếng đàn guitar, cùng ăn thịt nướng, uống bia và đi ngủ giữ sức cho quãng đường dài còn chờ đợi phía trước.&nbsp;Khánh và Mai quen nhau trong một dịp cùng nhau đi phượt Tây Bắc, và họ giữ liên lạc cùng nhau qua các lần off team phượt thủ. Chẳng cần một người tinh tế cũng đủ thấy Khánh thích Mai đến như nào, Khánh luôn muốn đi cùng Mai, mang đồ cho cô ấy, và luôn hỏi han ân cần về mọi thứ, nhưng Mai thì ...đã có bạn trai. Có lẽ được ngồi cạnh ngắm Mai ngủ như này, với Khánh đã là điều tuyệt vời rồi.&nbsp;-Khánh thích mùi hương này lắm phải không? Gucci Bloom? đó là lý do Khánh mua tặng MaiKhánh giật mình, nhận ra Mai thức giấc từ lúc nào-Mình làm cậu tỉnh giấc ah? thực ra mình thấy đó là một mùi hương rất đẹp, nó mang lại cảm giác của thanh xuân, của những ước mơ và khát vọng. Vừa nói, khánh vừa ngại ngùng gãi đầu cười ngượng ngịu...Mai bất ngờ đặt 1 nụ hôn lên môi Khánh, chẳng kịp để Khánh nhận ra điều gì, Mai thì thầm vào tai...-Sau chuyến đi này mình sẽ kết hôn, và mình chẳng thể nào có thể phản bội được chồng của mình. 1 nụ hôn chẳng thể nào giúp Khánh quên được Mai, và cũng chẳng thể nào giúp Mai thôi nghĩ về Khánh. Thanh xuân và ước mơ này, Mai xin hẹn Khánh ở một thế giới khác...Mặt trời đã lên cao, đoàn người lại hối hả thu dọn đồ đạc cho một chặng đường dài phía trước, bỏ mặc lũ chim kêu, những cánh bướm bay phủ màu lấp lánh cả một góc đường. Mai bước qua với nụ cười thật tươi, phảng phất hương thơm của Gucci Boom, Khánh nhìn Mai, bất giác cười, có lẽ điều hạnh phúc nhất bây giờ đối với Khánh, là được thấy Mai luôn luôn hạnh phúc...","https://namperfume.net/products/gucci-bloom-eau-de-parfum-for-her-mini-size","https://product.hstatic.net/1000340570/product/gucci-bloom_02f6ff28224143c6a358b788b3e4911c_grande.jpg",48000000 VND,"Gucci","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"nuoc-hoa-nu-scandal-jean-paul-gaultier","Jean Paul Gaultier Scandal","Hương đầu: Cam Đỏ, QuýtHương giữa: Mật Ong, Hoa Nhài, Hoa Cam, Đào, Hoa Sơn Chi.Hương cuối: Sáp Ong, Caramel, Hoắc Hương, Cam Thảo.Scandal tiếp nối xu hướng mùi hương tông Ngọt nhưng với một điểm nhấn mới lạ và sẽ làm phong phú thêm bộ sưu tập nước hoa của Jean Paul Gaultier vào mùa xuân. Và từ đây mang đến một ngôi sao mới của thương hiệu Jean Paul Gaultier, được đặt tên là SCANDAL.Scandal được tạo nên với một sứ mệnh. để phá bỏ mọi rập khuôn, mang đến một cái gì đó mới mẻ và hiện đại, đồng thời mạnh mẽ và thanh lịch. Các nốt hương chính của thành phần là Cam Đỏ, Mật Ong, Hoắc Hương và Hoa Nhài. Một đặc điểm dễ nhận biết về mùi hương của Scandal rằng đây là một mùi hương ngọt ngào và béo ngậy nhờ vào nốt hương Mật Ong và Caramel. Ngọt nhưng không hề khó chịu hay nồng gắt bởi vì ở Scandal còn có những tông mùi nhẹ nhàng, nữ tính và thanh tao của hoa Nhài, hoa Sơn Chi cùng với vị ngọt ngào của những quả Cam và Đào tràn đầy năng lượng.Thương hiệu tuyên bố rằng họ muốn sáng tạo nên một phiên bản khác của những dòng nước hoa trước đó từ bộ sưu tập Jean Paul Gaultier mà vẫn tôn trọng DNA nổi tiếng của thương hiệu với mục tiêu là tạo ra thứ gì đó chất chơi hơn, gợi cảm và vui nhộn hơn, từ chai nước hoa đến chiến dịch quảng cáo.&nbsp;","https://namperfume.net/products/nuoc-hoa-nu-scandal-jean-paul-gaultier","https://cdn.hstatic.net/products/1000340570/jean-paul-scandal-edp-80ml_b39ed3eafccf42dd8b1f6123bb033808_grande.jpg",2990000 VND,"Jean Paul Gaultier","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"nuoc-hoa-versace-bright-crystal","Versace Bright Crystal","Hương đầu: Quả lựu, Cam Yuzu, Nước đáHương giữa: Hoa sen, Hoa mẫu đơn, Hoa mộc lanHương cuối: Hổ phách, Xạ hương, Gỗ gụVersace Bright Crystal là một trong số ít mùi hương vẫn giữ được phong độ và hào quang như khoảnh khắc lúc vừa được ra mắt. Đã có rất nhiều bài viết cảm nhận về cô nàng này nhưng tôi tin chắc rằng, ở mỗi chúng ta sẽ có những cảm nhận riêng về Versace Bright Crystal.Mở đầu quá đỗi đáng yêu xen lẫn sự tươi mát của Cam Yuzu hoà cùng Quả lựu ngọt ngào, cả hai đều được đắm mình trong làn Nước đá nên khi vừa chạm mũi tôi như gột rửa đi mọi phiền muộn. Hẳn là bạn nghĩ mình đang lạc vào một rừng hoa, với nét trong trẻo của Hoa sen, Hoa mẫu đơn mềm mại và Hoa mộc lan tinh nghịch cứ thay nhau toả hương dịu dàng tại tầng hương giữa này. Kết thúc cuộc hành trình bằng nốt hương Hổ phách gần gũi và Xạ hương sạch sẽ khiến bạn mang hoài một cảm giác bồi hồi, vấn vương về mùi hương này.Versace Bright Crystal trong tôi như một phần ký ức về khoảng thời gian tươi đẹp, vừa trong sáng lại rất ngây thơ và đáng yêu. Còn bạn thì sao? Hãy kể tôi nghe về câu chuyện của bạn và Versace Bright Crystal nhé!","https://namperfume.net/products/nuoc-hoa-versace-bright-crystal","https://product.hstatic.net/1000340570/product/versace-bright-crystal_405b9f59113d48dea5e79fd1dd3a99e9_grande.jpg",1480000 VND,"Versace","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"lattafa-qaed-al-fursan","Lattafa Qaed Al Fursan","Hương đầu: Dứa, Nhụy nghệ tây.Hương giữa: Nhựa lãnh sam, Hoa nhài.Hương cuối: Nhựa hổ phách, Gỗ tuyết tùng, Oud.Lattafa Qaed Al Fursan là một trong những dòng nước hoa được yêu thích nhất của Lattafa kể từ khi ra mắt vào năm 2016. Với thiết kế chai mạnh mẽ, mang phong cách chiến binh Ả Rập và mùi hương gợi cảm, táo bạo, Qaed Al Fursan đã nhanh chóng chiếm được cảm tình của đông đảo người dùng, đặc biệt là những ai yêu thích phong cách Trái cây tươi - Gỗ và mùi hương sang trọng mang hơi hướng unisex.Ngay từ lớp hương đầu, Qaed Al Fursan gây ấn tượng với sự kết hợp giữa Dứa tươi, Lý chua đen và Cam bergamot, tạo cảm giác sảng khoái và nổi bật. Trái cây dần khô lại và lắng đọng, để lộ ra tầng hương giữa mang đậm sắc thái hiện đại với Gỗ tuyết tùng, chút hoa nhè nhẹ, phủ lên lớp nền đầy dấu ấn ấm áp, quyến rũ với Long diên hương, chút Rêu sồi chỉn chu rắn rỏi, cùng Gỗ đàn hương và Vanilla ngọt ngào.Qaed Al Fursan phù hợp cho cả nam và nữ, đặc biệt là những ai yêu thích phong cách tự tin, cá tính và có chút bí ẩn. Mùi hương lý tưởng cho mùa thu đông hoặc các buổi tiệc tối, gặp gỡ bạn bè và những dịp cần để lại ấn tượng mạnh mẽ. Mang trong mình DNA sang trong quen thuộc của những Creed Aventus, Nishane Hacivat, Qaed Al Fursan làm sống lại kỷ niệm của người chơi hương với Black XS của Paco Rabanne, một hương thơm đã biến mất khỏi thị trường đương đại.","https://namperfume.net/products/lattafa-qaed-al-fursan","https://cdn.hstatic.net/products/1000340570/lattafa-qaed-al-fursan-90ml_383a334b8dc74a428476d363c6f754ab_grande.jpg",1050000 VND,"Lattafa","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"gritti-tutu-travel-size","Gritti TuTù Travel Size
                
  								Nữ","Mã hàng IP110100204853 Thương hiệu Gritti Xuất xứ Ý Năm phát hành 2019 Nhóm hương Qủa Mâm Xôi, Xạ Hương, Vanila Phong cách Nữ Tính, TinhTế, Dễ Thương Hương đầu: Bưởi, Lý chua đen, Dừa, Sâm panhHương giữa: Hoa hồng, Hoa nhài, Hoa vòi voi, Hương phấnHương cuối: Mâm xôi, Vanilla, Hổ phách, Xạ hươngTuTù có nghĩa là ""chiếc váy xòe"" trong tiếng Ý, và tác phẩm mùi hương Gritti TuTù Extrait de Parfum được làm nên để ca ngợi những vũ công ba lê - người mang vẻ cuốn hút đặc biệt với sức mạnh, sự dẻo dai và uyển chuyển trong từng điệu múa.Ba lê là một hình thức nghệ thuật dù đẹp nhưng ""đau đớn"", cá nhân tôi là một dancer, tôi dành rất nhiều sự tôn trọng và kính phục trước những người vũ công ấy - những người biết chuyển thể nỗi chịu đựng thể xác thành một bài múa đầy tính nghệ thuật và xúc cảm. Nhưng thôi chẳng bàn về họ nữa, đã đến lúc ta nói về nhân vật chính là Gritti TuTù Extrait de Parfum rồi chứ nhỉ?Gritti TuTù Extrait de Parfum làm tôi ấn tượng nhờ nhiều điểm. Điểm đầu tiên là cách mà TuTù ""mở bài"", vui tươi và khoáng đạt với Trái cây mọng ngọt và Sâm panh chuếnh choáng. Thế nhưng càng đắm chìm, ta càng phát hiện nhiều điều hơn dưới bề mặt sôi nổi ấy. Hồng và Nhài điềm nhiên và nữ tính, Hoa vòi voi ngọt lịm và say đắm. Một chút Vanilla béo mềm, một chút Xạ hương bông phấn, tất cả tổng hòa làm nên một điệu nhảy tràn đầy sức sống, lại xen kẽ thêm những nốt trầm thi vị. Một bản Ba lê bằng mùi hương đúng nghĩa.","https://namperfume.net/products/gritti-tutu-travel-size","https://cdn.hstatic.net/products/1000340570/lattafa-qaed-al-fursan-90ml_383a334b8dc74a428476d363c6f754ab_grande.jpg",0 VND,"Lattafa","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
"nuoc-hoa-armaf-club-de-nuit-women","Armaf Club De Nuit Woman","Hương đầu: Cam bergamot, Hương bưởi, Hương đào, Hương camHương giữa: Hoa phong lữ, Hoa nhài, Hương vải, Hoa hồngHương cuối: Xạ hương, Hoắc hương, Hương vanilla, Cỏ hương bàiCó trụ sở tại các Tiểu vương quốc Ả Rập thống nhất, bậc thầy mùi hương Armaf hiện nắm giữ hàng tá mùi hương khác nhau vô cùng nổi tiếng ở thị trường châu Âu và nhận được sự ưa chuộng của cả nam giới lẫn nữ giới. Giữ trong mình hương thơm đáng yêu, tinh tế tác hợp cùng hương trái cây gợi lên một mùa xuân ấm áp, dịu nhẹ và mát mẻ.Được ra mắt vào năm 2015, Armaf Club De nuit Women là một kỳ công vang dội khi mang tới những mùi hương khẳng định đẳng cấp của sự xa xỉ, sang trọng đến với giới thượng lưu cũng như những người yêu thích nước hoa trên toàn thế giới.Đón đầu sự thống trị của Armaf Club De Nuit là làn hương dịu nhẹ của Cam bergamot cộng thêm một chút thoáng đãng từ Bưởi, Đào và Cam truyền thống mang tới khung cảnh mùa xuân thơm ngát kéo dài khắp các tầng hương. Trước khi bất chợt nhận ra sự thay đổi ở tầng hương giữa thì sự nhẹ nhàng của Hoa phong lữ được tỉ mỉ gấp chung ngay ngắn với hương vải và hoa nhài vẽ nên một mùa xuân bình an, vô lo. Tưởng chừng tầng hương đã hoàn thành thì hương thơm tình yêu phát ra từ hoa hồng buộc chặt lấy những nếp gấp hoàn mĩ tạo nên cảm giác yêu kiều, quyến rũ.Nhưng tình yêu nào cũng cần phải có sự tự do nên Armaf đã đem mùi thơm của Cỏ hương bài, Xạ hương, Hoắc hương và Hương vanilla hóa ra một không gian trải đầy màu xanh để tình yêu cảm nhận được điều đó.","https://namperfume.net/products/nuoc-hoa-armaf-club-de-nuit-women","https://product.hstatic.net/1000340570/product/armaf_club_de_nuit_women_fc8e49e660c2421f8553f44d7755361f_grande.jpg",1150000 VND,"Armaf","in stock","new","Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne"
